Panos@ena,duo,tria,tessera,pente
Ζαμπόν@Τόστ,Αλλαντικά,Τυρί,Μπέικον,Χοιρινό
Υδράργυρος@Θερμόμετρο,Μέταλλο,Υγρός,Ασήμι,Πυρετός
Λεπτομέρειες@Γνώσεις,Παρατηρητικότητα,Υπόθεση,Άχρηστες,Μικρές,Σημασία
Γιλέκο@Κουστούμι,Καουμπόης,Ρολόι,Ρούχο,Σακάκι
Φακίδες@Ήλιος,Μύτη,Δέρμα,Ελιά,Πανάδα
Καλοφαγάς@Εκλεπτυσμένος,Ποιότητα,Φαγητό,Ευχαρίστηση,Γκουρμέ
Επίλογος@Τέλος,Συμπέρασμα,Μετά,Βιβλίο,Έκθεση
Ζελέ@Μαλλιά,Φρούτων,Διαφανές,Ζάχαρη,Ψυγείο
Εξαπατώ@Κλέβω,Ξεγελώ,Εγκληματίας,Κοροϊδεύω,Κόλπο
Σκουπίδια@Απορρίμματα ,Χωματερή,Υποκουλτούρα,Μόλυνση,Δρόμος
Φύλλο@Σελίδα,Αδένας,Δέντρο,Γυρίζω,Πράσινο
Βράζω@Αβγά,Μαγειρεύω,Νερό,Θυμώνω,Ζεσταίνομαι
Αχιλλέας@Έλληνας,Μυθολογία,Αδυναμία,Φτέρνα,Ήρωας
Μοχλός Ταχυτήτων@Οδηγώ,Αυτοκίνητο,Κατευθύνω,Ταχύτητα,Αυτόματο
Αναβάλλω@Καθυστερώ,Ακυρώνω,Αργότερα,Αλλάζω,Ραντεβού
Σάτιρα@Γέλιο,Σαρκασμός,Αριστοφάνης,Κωμωδία,Κριτική
Τόστ@Ψωμί,Βούτυρο,Ψημένο σάντουιτς,Τυρί,Ζαμπόν
Κοράλλι@Ύφαλος,Τροπικός,Θάλασσα,Υποβρύχιος,Ψάρι
Σχολάω@Ώρα,Δουλειά,Εργοστάσιο,Κάρτα,Μηχανή
Κρόνος@Πλανήτης,Γη,Ουρανός,Δακτύλιος,Ηλιακό Σύστημα
Κοινός@Θνητός,Ξεχωριστός,Πολιτεία,Νούς,Λογική
Ελιά@Δέντρο,Σώμα,Κρέας,Δέρμα,Πανάδα
Τρακάρισμα@Αμάξια,Σύγκρουση,Τσιγάρο,Χαρτιά,Καπνίζω
Μυστικός@Δείπνος,Κρυφός,Κατάσκοπος,Εγκληματίας,Αστυνομία
Φροντιστήριο@Ξένων γλωσσών,Αγγλικά,Καθηγητές,Μαθητές,Σχολείο
Φούτον@Ιαπωνικό,Κρεβάτι,Καναπές,Στρώμα,Επισκέπτης
Διαγράφω@Απομακρύνω,Αρχείο,Εξαλείφω,Σβήνω,Αποκοπή
Συμβούλιο@Υπουργικό,Επικρατείας,Δημοτικό,Πολυκατοικίας,Πολεμικό
Αστέρι@Ουρανός,Νύχτα,Τρεμοπαίζει,Διασημότητα,Ταινία
Σκάνδαλο@Κουτσομπολεύω,Σοκ,Εξωφρενικό,Σκανδαλοθήρας,Νέα
Μπιγκ Μπανγκ@Αρχή,Έκρηξη,Θεωρία,Σύμπαν,Θόρυβος
Αεροδρόμιο@Αεροπλάνο,Πιλότος,Αφίξεις,Αναχωρήσεις,Πύργος Ελέγχου
Παιδική Χαρά@Μικρά,Κούνιες,Τσουλήθρα,Πάρκο,Σχολείο
Ανάκτορο@Μπάκιγχαμ,Βασιλιάς,Παλάτι,Κάστρο,Αυτοκράτορας,Σπίτι
Δίσεκτος Χρόνος@29,Φεβρουάριος,Τέσσερα,Μήνας,Ημέρα
Μέτωπο@Κούτελο,Κεφάλι,Καθαρό,Πρόσωπο,Φρύδια
Επιταγή@Τράπεζα,Λογαριασμός,Καρνέ,Μετρητά,Εντολή
Εγγυημένος@Σίγουρος,Βέβαιος,Δεν μπορεί να πάει στραβά,Δοκιμασμένος
Λυκοφώς@Σούρουπο,Τέλος,Αίμα,Ήλιος,Βρικόλακες,Ζώνη
Τρίτη Ηλικία@Γέροι,Μερίδα,50+,Ηλικιωμένοι,Συνταξιούχοι
Πασιέντζα@Χαρτιά,Τράπουλα,Μόνος,Κάρο,Υπομονή
Διαμάντι@Κόσμημα,Δαχτυλίδι,Καρό,Φίλος,Κολιέ
Ώθηση@Τίναγμα,Σπρώξιμο,Τρέξιμο,Πόρτα,Υπενθύμιση
Κινητό Τηλέφωνο@Κλήση,Ασύρματο,Συνομιλία,Συσκευή,Μήνυμα
Τύπος@Περιοδικό,Μαθηματικός,Εφημερίδα,Δημοσιογράφος,Είδος
Πιπεριά@Κόκκινη,Πράσινη,Τσίλι,Σπόροι,Μπούκοβο
Παλιρροϊκό Κύμα@Θάλασσα,Τσουνάμι,Ηφαίστειο,Σεισμός,Καταστρέφω
Μόνα Λίζα@Τζιοκόντα,Πίνακας,Λούβρο,Διάσημος,Χαμόγελο,Λεοναρτνο Ντα Βίντσι
Πορθμείο@Μεταφέρω,Πλοίο,Κανάλι,Συγκοινωνία,Θάλασσα
Βάτραχος@Πήδημα,Αμφίβιο,Ποδια,Νούφαρο,Γυρίνος
Τζαμπατζής@Λεφτά,Πληρώνω,Δωρεάν,Έχει,Φθηνός
Κορδώνομαι@Κομπάζω,Τεντώνομαι,Λόρδος,Περπάτημα,Καυχιέμαι
Πλεξούδα@Μαλλιά,Κοτσίδα,Κατσαρή,Αλογοουρά,Κορίτσι
Μάρμαρα@Παρθενώνα,Αρχαία,Έλγιν,Μελίνα Μερκούρη,Βρετανικό Μουσείο
Ίνα@Άλεσμα,Πίτουρο,Φρούτο,Δημητριακό,Έντερο
Νύχι@Μανικιούρ,Μανό,Λίμα,Χέρια,Γρατζουνάω
Ρόλος@Ηθοποιός,Θέατρο,Κινηματογράφος,Παίζω,Ερμηνεύω
Κορόιδο@Εύκολος,Επιρροή,Πωλητής,Πείθω,Αδύναμος
Μυθιστόρημα@Νουβελα,Διήγημα,Βιβλίο,Ιστορία,Υπόθεση
Αεροπλάνο@Πιλότος,Ελ. Βενιζέλος,Απογείωση,Πτήση,Προσγείωση
Σαπούνι@Πλάκα,Πλένομαι,Μπάνιο,Καθαρός,Χέρια
Μουσώνες@Εποχή,Βροχή,Υγρή,Τροπικός,Άνεμος
Σκίζω@Κόβω,Σελίδα,Θριαμβεύω,Γάτα,Νικώ
Κομπογιαννίτης@Τσαρλατάνος,Ψευτογιατρός,Αλμπάνης,Σκιτζής,Αγύρτης
Ράδιο@Ακούω,Ασύρματο,Συχνότητα,Κύμα,Κοντρόλ
Διαποτίζω@Απορροφώ,Αλκοόλ,Βρώμικος,Μπάνιο,Μουσκεύω
Ταμειακή Ροή@Λογαριασμός,Προσωρινός,Ανάλυση,Κρίση,Χρήματα
Γλυκό του Κουταλιού@Κεράσι,Βάζο,Βύσσινο,Σπιτικό,Σιρόπι
Ανοησία@Παράλογο,Νόημα,Βλακεία,Χαζομάρα,Σημαντικό
Φόρος Εισοδήματος@Πληρώνω,Κερδίζω,Ποσοστό,Επιστροφή,Λογιστής
Γκαράζ@Παρκινγκ,Αυτοκίνητο,Στάθμευση,Πιλοτή,Υπόγειο
Ψυχρός@Κακός,Ανάποδος,Άκαρδος,Παγωμένος,Κρύος
Καλυψη@Ειδήσεις,Κινητό,Τηλέφωνο,Δίκτυο,Δημοσιότητα
Ώριμος@Τυρί,Κρασί,Ηλικία,Μεγάλος,Αγορά
Όξινος@Λεμόνι,ΡΗ,Βροχή,Υδρογόνο,Ιόντα
Τυφλός@Όραση,Βλέπω,Λευκό μπαστούνι,Τύχη,Έρωτας
Δεξαμενή@Στέρνα,Νερό,Γεμίζω,Ποτίζω,Θερινός Κινηματογράφος
Θρεπτικός@Βιταμίνη,Υγιεινός,Ανάπτυξη,Τρώω,Φαγητό
Πολυκατοικία@Ασανσέρ,Διαμέρισμα,Διαχειριστής,Όροφος,Θυρωρός
Αργότερα@Μετά,Τα λέμε,Έπειτα, Σε λίγο,Τώρα
Άγιος Βασίλης@Δώρα,Γενειάδα,Πρωτοχρονιά,Καισαρεία,Καμινάδα
Φράχτης@Κήπος,Αυλή,Όριο,Κάγκελα,Θάμνος
Κάλαντα@Χριστούγεννα,Τρίγωνα,Λέω,Δεκέμβριος,Πρωτοχρονιά
Ομίχλη@Πυκνός,Σύννεφο,Κρύο,Πούσι,Νέφος
Δόλωμα@Αγκίστρι,Ψάρεμα,Πετονιά,Καλάμι,Τσιμπάω
Μαύρο Ψωμί@Ολικής Αλέσεως,Άσπρο,Φραντζόλα,Υγιεινός,Σπόρος
Φραγμός@Κήπος,Όριο,Ηθικός,Περιορισμός,Σταματώ
Γλάστρα@Κήπος,Φυτό,Κεραμική,Τηλεπαιχνίδι,Χαζή
Μπάσκετ@Άθλημα,Καλάθι,Μπάλα,Αγώνας,Ομάδα,Τρίποντο
Σκουλήκι@Γη,Χώρα,Σέρνομαι,Πουλί,Γυμνοσάλιαγκας
Όλυμπος@Βουνό,Κίσαβος,Ψηλότερο,Θεοί,Ορειβασία
Μπίγκ Μπέν@Λονδίνο,Ρολόι,Κοινοβούλιο,Μεγάλη Βρετανία,Αγγλία
Κλιματισμός@Ζέστη,Κρύο,Καθαρός,Θερμοκρασία,Αυτοκίνητο
Επιμελούμαι@Διορθώνω,Αφαιρώ,Αλλάζω,Βιβλίο,Ταινία
Μαξιλάρι@Μαλακό,Καρέκλα,Καναπές,Κρεβάτι,Προστατεύω
Βερνίκι@Ξύλο,Νύχι,Γυαλιστερός,Λουστράρω,Διαφανές
Εξάτμιση@Εκπομπή,Αυτοκίνητο,Υγρό,Καυσαέριο,Μονοξείδιο του άνθρακα
Χαμηλοκάβαλο@Τζίν,Μέση,Κόψιμο,Στιλ,Δεκαετία του 70
Ρολόι@Βλέπω,Καρπός,Ώρα,Χτύπος,Νύχτα
Αμόλυβδη@Καύσιμο,Βενζίνη,Αυτοκίνητο,Ντεπόζιτο,Φουλάρω
Ακτίνα@Φως,Λέιζερ,Χι,Ποδήλατο,Τροχός
Δημοτικό@Σχολείο,Τάξη,Εκπαίδευση,Στοιχειώδης,Διαμέρισμα
Πολυτέλεια@Ακριβός,Περιποίηση,Δαπανηρός,Καλομαθαίνω
Πλάθω@Κουλουράκια,Ψωμί,Πλαστελίνη,Ζυμώνω
Πικρός@Ξινός,Μπύρα,Λεμόνι,Χάπι,Καφές
Μαργαριτάρι@Βλακεία,Κολιέ,Κόσμημα,Χάντρα,Στρείδι
Γυμναστικλη@Υγεία,Άσκηση,Φυσική Αγωγή,Φόρμα,Αθλητικά
Νεύρα@Φούρκα,Τσαντίλα,Σπασμένα,Κλαίω,Θυμωμένος
Καμινάδα@Χριστούγεννα,Τζάκι,Άγιος Βασίλης,Στέγη,Καπνός
Σίδερο@Μέταλλο,Ζάρα,Πτυχή,Ρούχα,Χύνω
Ρέστα@Ζητώ,Φιλοδώρημα,Πληρωμή,Κέρματα,Υπόλοιπο
Φάκλεος@Γράμμα,Υπολογιστής,Ντουλάπι,Αρχείο,Μητρώο
Μαρμελάδα@Κομπόστα,Πορτοκάλι,Φρυγανιά,Πρωινό,Βούτυρο
Προσγείωση@Αεροπλάνο,Απογείωση,Διάδρομος,Αεροδρόμιο,Πύργος Ελέγχου
Σουβλάκι@Καλαμάκι,Γύρος,Πίττα,Τζατζίκι,Απ'όλα
Φτύνω@Απορρίπτω,Αίμα,Σάλιο,Γυαλίζω,Προσβολή
Σαλοπέτα@Παντελόνι,Έγκυος,Μονοκόμματο,Φόρμα,Τιράντες
Σιγκαπούρη@Μαλαισία,Αερογραμμές,Άτυπη πνευμονία,Πόλη των Λεόντων,Ασία
Σκοινί Απλώματος@Ρούχα,Στεγνώνω,Αέρας,Κρεμάω,Μανταλάκια
Πανούκλα@Αρρώστια,Φτάρνισμα,Κολλητική,Ποντίκια,Πανώλη
Μικρό μου πόνι@Αλογάκι,Χαίτη,Παιχνίδι,Κορίτσι,Χρωματιστά μαλλιά
Στολή@Ομοιόμορφη,Σχολείο,Αστυνομία,Φορώ,Ρούχα
Γύρος@Κυκλικός,Ποτό,Σφαίρα,Πίτα,Όλοι
Τίποτα@Μαύρη τρύπα,Άδειο,Κενό,Τζάμπα,Δωρεάν
Φρίσμπι@Πετάω,Δίσκος,Παραλία,Καρπός,Παίζω
Καλώ@Χτυπάει,Τηλέφωνο,Όνομα,Φωνάζω,Επίσκεψη
Ακατέργαστο@Πετρέλαιο,Διαμάντι,Τρόποι,Βασικό,Πρωτόγονο
Κουμ Κουατ@Κέρκυρα,Εσπεριδοειδή,Πορτοκαλί,Γλυκό κουταλιού,Λικέρ
Καπετάν Μιχάλης@Βιβλίο,Ήρωας,Κρητικός,Νίκος Καζαντζάκης,Ο Χριστός ξανασταυρώνεται
Βράχος@Σκληρός,Πέτρα,Παραλία,Λίμνη,Αλκατράζ
Πόνι@Άλογο,Μικρό,Κούκλα,Πόλο,Αυτοκίνητο
Μήνυμα@Κινητό,Γραπτό,Sms,Λέξεις,Τηλέφωνο
Σαλιγκάρι@Αργός,Κέλυφος,Γυμνοσάλιαγκας,Ίχνος,Ταχύτητα
Γυναικολογία@Προγεννητικός,Γέννα,Εγκυμοσύνη,Μαία,Νοσοκομείο
Παστουρμάς@Αλλαντικό,Παστό,Καμήλα,Κρέας,Έντονη μυρωδιά
Αρνί@Άνοιξη,Πρόβατο,Σούβλα,Ψητό,Μπούτι
